VISPERC,CUBES,LOZENGES,PARCOMP,SENCOMP,WORDMEAN,ADDITION,COUNTDOT,SCCAPS,,
20,31,3,7,23,9,78,115,229 
32,21,17,5,12,9,87,125,285 
27,21,15,3,7,3,75,78,159 
32,31,24,8,18,17,69,106,175 
29,19,7,8,16,18,85,126,213 
32,20,18,3,12,6,100,133,270 
17,24,8,10,24,20,108,124,175 
34,25,15,11,17,9,78,103,132 
27,23,12,8,23,19,104,93,265 
21,21,6,8,20,18,95,91,157 
22,23,16,6,14,11,86,114,155 
35,24,23,8,18,19,85,103,149 
34,18,33,8,16,16,135,104,211 
36,22,14,14,16,11,118,94,160 
35,23,29,15,22,21,92,87,211 
28,19,19,8,17,5,94,76,185 
26,19,12,6,16,9,85,133,189 
30,27,18,6,10,12,92,105,196 
34,21,32,13,21,26,90,97,207 
38,35,24,11,15,18,80,107,177 
35,32,16,5,10,4,60,92,194 
40,34,33,6,13,15,103,109,252 
30,25,15,10,23,22,80,92,180 
23,22,13,8,12,7,134,106,244 
34,22,10,7,15,9,108,92,149 
32,16,27,5,14,10,132,125,156 
33,21,36,8,9,5,95,102,163 
36,20,17,5,12,8,65,111,159 
28,24,34,6,12,14,118,117,310 
30,18,6,8,13,13,107,97,196 
21,23,11,6,14,13,111,139,215 
18,24,2,5,12,7,47,73,121 
30,21,14,8,21,14,62,86,173 
25,24,19,10,17,13,124,87,203 
20,15,12,4,12,6,64,104,174 
29,21,4,5,19,10,72,75,177 
33,28,28,8,16,14,88,80,191 
23,18,18,9,12,12,94,70,183 
38,16,31,12,21,23,127,109,184 
35,31,20,9,21,22,74,90,176 
23,23,13,8,17,15,113,102,167 
19,20,10,5,17,11,65,106,172 
11,21,8,5,15,4,91,95,100 
25,21,15,6,12,10,91,112,240 
38,22,22,14,22,14,124,100,247 
36,22,36,9,17,9,111,100,180 
43,34,32,2,4,7,77,127,226 
19,19,11,8,13,9,141,160,196 
26,22,22,6,9,7,130,118,218 
27,25,9,11,22,15,59,96,199 
33,23,30,5,9,1,54,101,198 
42,24,17,7,18,10,84,103,172 
23,30,26,2,6,1,75,84,194 
31,19,14,10,14,15,80,102,151 
30,24,33,6,18,15,96,96,159 
34,21,17,8,18,10,93,114,200 
24,19,26,5,12,12,96,105,203 
35,21,31,8,22,17,79,116,171 
23,26,16,3,10,9,78,91,174 
25,23,14,4,12,7,81,123,142 
32,23,27,12,22,18,121,124,221 
24,24,29,8,20,15,113,107,172 
32,27,11,5,10,5,61,77,192 
32,20,10,10,18,17,127,109,210 
22,23,29,8,20,10,76,90,181 
39,24,20,11,18,21,131,108,227 
24,37,32,9,15,7,83,115,223 
28,23,29,8,11,13,89,122,153 
17,20,7,9,10,11,157,114,141 
28,20,6,13,16,19,109,119,195 
4,18,6,6,12,7,83,110,166 
26,37,27,4,9,8,86,115,186 
30,18,21,5,11,11,121,147,215 
30,24,26,10,23,19,80,92,154 
25,21,17,9,13,5,80,114,165 
23,21,19,5,9,7,72,115,168 
34,28,17,12,19,16,130,114,233 
10,23,11,0.,6,8,131,80,203 
38,22,33,12,13,13,128,147,207 
24,21,20,3,6,13,108,103,192 
27,24,14,5,8,11,135,129,217 
28,32,34,9,19,17,118,115,191 
29,33,18,1,9,4,123,104,208 
29,26,14,7,14,5,133,115,179 
18,21,5,3,6,7,114,97,165 
38,25,20,10,23,26,106,137,197 
33,28,23,8,16,6,94,108,215 
32,24,22,12,20,15,127,91,185 
20,29,26,4,5,4,82,111,176 
33,20,18,11,18,12,96,119,240 
24,26,21,8,11,13,153,150,196 
23,25,27,6,15,3,124,156,220 
31,19,17,3,8,11,82,128,206 
26,14,7,8,13,8,83,96,142 
25,22,7,14,19,15,95,107,136 
30,23,34,12,17,17,82,72,196 
26,19,4,10,23,20,127,117,152 
45,30,17,16,27,19,118,111,260 
30,15,11,5,11,10,128,122,166 
33,25,22,11,18,23,113,103,207 
37,15,35,8,13,7,98,106,225 
39,26,15,11,15,12,104,88,237 
26,31,15,13,18,13,135,125,148 
28,21,13,10,18,20,88,97,174 
41,36,35,8,23,35,69,124,217 
27,26,25,8,22,15,146,130,222 
41,26,6,16,23,22,171,114,187 
33,27,30,8,11,14,96,136,252 
38,22,13,17,22,28,131,128,271 
25,17,18,10,14,10,103,83,121 
34,37,35,11,19,21,75,78,175 
38,21,21,13,17,11,66,120,196 
37,25,34,15,14,13,105,107,196 
31,26,14,12,21,13,108,86,216 
25,30,31,3,8,6,82,79,228 
25,23,8,11,19,13,111,117,195 
31,23,20,8,19,19,122,137,180 
26,21,32,9,11,7,128,132,232 
21,29,27,7,9,8,85,104,186 
28,19,13,8,13,14,94,111,196 
29,24,12,8,17,9,134,128,247 
30,22,19,10,12,14,106,128,119 
45,28,34,12,26,25,86,152,234 
32,21,33,7,15,11,84,107,172 
37,27,33,10,20,20,115,138,230 
32,35,25,13,16,8,92,139,204 
26,28,8,13,22,21,118,113,177 
29,28,9,10,20,16,113,105,179 
36,30,26,9,24,17,76,102,208 
30,18,13,6,11,4,104,125,227 
25,32,35,13,25,22,105,156,252 
34,22,28,12,17,16,167,127,259 
30,25,14,4,8,4,113,120,173 
21,21,18,6,15,13,108,105,134 
44,32,21,8,20,17,79,120,222 
37,30,29,12,25,18,101,117,220 
29,21,36,13,23,20,77,102,196 
34,25,22,10,21,15,102,103,164 
33,27,36,7,18,18,144,131,248 
31,20,20,10,23,21,148,166,255 
19,15,12,10,23,16,139,105,224 
30,30,36,6,6,3,76,105,206 
43,36,31,11,21,33,88,142,208 
44,27,32,18,26,43,123,115,238 
12,22,5,8,20,6,55,112,215 
23,22,15,11,20,21,129,98,139 
25,24,10,12,20,18,160,125,227 
28,23,13,2,10,10,104,100,171 
35,19,21,17,22,29,82,126,197 
40,22,35,8,15,7,118,95,188 
41,29,34,15,23,34,130,151,222 
32,19,21,9,22,15,133,158,250 
29,20,19,9,17,17,124,150,195 
31,24,19,4,9,8,124,123,187 
38,27,9,9,10,10,108,112,149 
29,23,10,9,19,15,83,123,169 
