         -1.237          -0.213           6.285           0.194           9.234  
          1.962           2.758           2.021          -1.212         -10.857  
          1.413          -2.765          -1.461          -1.584          -8.241  
         -2.766           2.405           5.808            1.97            23.6  
         -1.837          -0.152           -5.23            -0.5          -0.877  
         -0.055           2.823           -10.1           0.862          -8.413  
         -1.179           3.398           4.853          -0.513           1.806  
         -3.719           -0.39          -6.185          -0.675         -16.801  
          1.179           0.734          -5.277           0.598           17.42  
         -0.892          -0.642           2.382           1.676          11.998  
         -2.154           3.375           7.244           0.419          -6.019  
         -4.862          -0.275           0.929           0.245           9.208  
         -6.788           2.476           2.425          -0.255          -0.114  
          2.987           -1.68           -9.58           1.356          14.055  
         -3.461          -1.958           5.123           -0.51          -3.368  
         -0.221          -0.724          -0.427          -0.013          -0.547  
          2.418          -4.539          -7.776          -0.178          -3.661  
          2.351          -0.941          -4.024          -0.337            8.28  
          1.121          -3.038           3.961           0.813         -15.866  
          2.285          -2.821          -1.019           0.406         -13.262  
         -1.714           1.818            8.12           0.678          -0.676  
        -10.852           2.467          -0.651           0.887           3.361  
          6.534          -4.553           -6.42           0.311          -3.984  
          2.025          -7.858          -3.276           0.692           0.156  
          1.592           3.049           4.528           1.019          11.398  
          1.063           4.479           0.746           1.555           0.794  
           4.74          -0.929          -5.967          -1.901         -50.034  
          2.089           0.723          -3.069           0.419           0.939  
         -2.219           2.177          -0.511           0.396          28.031  
         -5.565           6.095            9.68            0.87          16.829  
         -3.378           3.068           0.748           0.358            8.64  
         -0.666          -3.181          -1.304            1.42           7.409  
         -2.695          -0.929          -6.473          -0.572         -19.839  
         -5.731          -1.449          -0.418          -1.577         -16.131  
          5.908           0.437          -0.316           0.106          12.154  
         -0.949            0.66           9.087          -0.598          -1.486  
          6.306          -1.484          -6.395          -1.163           6.137  
          0.949          -0.748          -0.663          -0.365          15.404  
          2.154          -0.483          -2.506          -0.742          27.214  
          2.912          -0.288          -5.824          -0.453          -28.94  
         -5.123           3.584           9.602           0.524         -16.778  
         -2.486           4.049           3.123           1.666          27.855  
         -7.818           2.418           6.436           0.497          25.384  
         -3.062           1.393           8.791           0.865          31.056  
         -9.097           3.097           1.621          -0.627           4.196  
         -6.306          -3.315          -1.727            1.16           5.206  
         -3.631            3.43          -2.815          -0.866         -25.573  
         -3.139           1.462          -0.533          -0.593         -12.392  
         -4.295           6.999          12.722           0.872           3.596  
          1.775          -7.178            0.63          -1.486         -23.345  
         -2.089           3.419           6.256           0.816          11.268  
          1.354          -0.924          -3.699          -0.815          -9.953  
          3.297           1.868          -2.612          -1.061           1.465  
         -2.624          -1.058           1.256          -0.525           1.536  
          0.554           3.767           3.364          -0.738           7.179  
          2.624           3.679           8.735           1.514          20.259  
          -4.74           3.969           6.441           1.354          19.246  
         -0.723          -0.606           1.418          -1.499          -5.676  
         -0.835           1.437          -1.568           0.126          -4.002  
         -5.262           5.197          16.197           0.225          10.163  
          0.332           2.196           7.198           0.602           1.614  
          0.387          -1.244          -3.486           1.106          30.439  
         -1.063          -4.479           3.184           2.877          -5.575  
         -3.217           0.742           2.976          -0.931           7.767  
           -4.4           2.186           -3.04          -0.807         -10.759  
         -1.413          -2.777           2.871          -0.127         -20.584  
         -3.809           4.403          14.426           1.912          16.145  
          6.788          -1.326          -3.438          -1.164          -8.868  
         -4.092          -0.022          -2.842          -1.023         -18.799  
          7.412           -6.47         -14.279          -1.804         -34.062  
         -8.341           3.561           8.145           0.357          11.217  
          4.623            -0.2            7.52          -0.223         -13.811  
          0.835          -0.667           4.256          -0.133          10.802  
         -7.076           3.909           8.496          -0.591           23.99  
          1.532            4.49           1.397          -1.358          -1.613  
         -7.412            0.17           1.209           0.079          11.227  
          0.892          -4.455              -3           2.141          -9.071  
          -4.51           2.176          -4.563          -1.514          13.645  
          1.006          -4.276          -0.326          -0.148            3.41  
          3.062          -3.803         -10.145          -0.849          -8.913  
         -0.332          -1.596           3.316           0.296           6.969  
          4.295          -1.751           0.394           0.969           1.528  
          3.461            1.48           0.007           0.425          10.472  
          7.818          -0.793           2.398            -0.3         -29.615  
            4.4           1.438           0.895           0.357          17.549  
          2.486          -2.464          -0.097          -0.615         -17.341  
          4.092          -6.933           5.819          -2.262         -18.232  
         -0.443           6.009           6.799           0.806          13.476  
         -2.285           1.051           2.172           0.496          17.448  
          2.695           -1.45          -9.979          -3.251         -10.989  
          3.217           -4.21          -1.771           0.664           -3.36  
         -1.962           1.711           5.428          -0.185          13.098  
          3.995           1.181           1.659           1.307           3.725  
         -0.554           3.267           3.086          -1.577           9.027  
          3.631          -0.656          -4.893           0.394          26.816  
         -3.545           0.131           6.965          -0.895           4.122  
         -1.592           5.193           3.062           0.624          26.858  
          8.341          -3.884          -8.266           1.193          -2.352  
          0.666           1.643           0.762           1.043           -3.15  
         -2.555          -0.923           8.539           -0.02          15.076  
         -0.779          -8.333         -11.413          -0.844         -16.428  
         -2.351           1.979          -8.683           0.495          -7.912  
         -3.297            1.25           0.524           -0.17           4.854  
          0.111          -0.697          -1.276           0.602            1.33  
          4.862          -4.599          -0.515          -2.327          -28.53  
          0.779          -2.221         -10.253           0.167          19.792  
          2.219           0.073           4.534          -0.753         -15.191  
          0.723           5.951           0.893           0.789           2.486  
         -1.775           2.386          -4.144          -0.836           1.438  
          3.809          -6.411          -1.773          -0.173          -2.371  
          0.277          -3.658          -4.635           0.619          -8.106  
         -0.166          -1.206            0.03           0.529         -19.204  
          5.262          -5.996          -3.093           1.245          12.726  
          1.472           1.224           1.088           0.166           7.684  
         -1.295           -1.08           0.574           1.418          18.194  
         -6.534           5.447           4.013           0.138          18.502  
              0           0.087           5.296           1.218           0.439  
          2.555          -2.286           -6.12           0.111           4.308  
         -1.899          -3.784          -8.634          -0.503          11.682  
          0.166          -5.043         -14.176          -2.425         -29.459  
         -0.277          -0.889           -0.78          -1.377         -26.742  
         -2.987           1.017          -2.077           0.734            3.71  
         -6.098           0.436           6.759           0.005          15.214  
          5.565          -1.331          -8.906          -1.543          -32.37  
          1.653          -0.539          -1.967          -0.291          -6.628  
          0.443          -3.626          -5.882          -0.776           6.617  
           4.99          -4.235          -4.142          -0.529          -23.28  
         -1.006           2.874           2.801          -0.127           8.429  
          1.899           6.579           9.458           1.578          11.377  
           4.51           0.082          -4.334           0.399           9.475  
          3.378           5.498           4.389          -0.519         -14.699  
         -2.912          -0.263          -5.665          -2.379         -18.928  
          2.839           3.238           1.828           0.254           1.007  
         -1.354           9.028          11.201           0.874           12.04  
         -2.839           3.058           2.517           -0.82          -19.06  
         -1.532           0.281           -2.17          -0.248          12.028  
         -3.901          -0.036           0.434           0.876          18.867  
          7.076          -4.853         -12.002           1.229         -28.785  
         -0.499            -0.1          -4.362           1.048           4.824  
          1.837           3.152          11.714          -1.362            4.85  
         -1.472           2.669           0.072           0.197          -3.557  
          1.295           3.236           5.684           1.906           9.189  
          0.499            0.77          -3.689          -0.313           -8.67  
          1.237          -5.078            1.04          -0.271           3.153  
         -1.653           2.192           2.641          -0.912          -0.714  
          3.719          -4.085          -4.628          -0.538         -14.908  
          6.098          -6.522          -8.168           -2.16         -23.359  
         -3.995           6.472            8.39          -0.508          -12.83  
         -0.387          -2.816           0.313          -0.453          -2.736  
          -4.99          -0.562         -10.074           0.331          -0.257  
         -4.623          -4.679          -3.769           0.808          -1.469  
          5.123           2.733           3.424          -0.303           2.058  
          9.097           -4.37          -0.888          -1.066          -20.65  
         -4.192          -1.117          -2.397           0.553          -4.496  
          5.731           -0.89          -0.007           1.856          -7.728  
          5.409          -1.807           -1.48          -0.233         -12.448  
         -5.908          -0.437           2.852          -0.523          -7.219  
          3.139          -3.156          -0.585            0.29         -12.361  
          0.055          -0.905           2.564           0.121          -3.721  
         -2.418          -3.059          -3.662           0.031          22.597  
          1.714          -3.297          -2.604           0.868          -0.867  
          2.766           2.945           1.412           0.095          -5.489  
         -1.121           2.387           4.575           0.459          -4.792  
         -5.409           2.789           1.277            1.32          22.156  
           0.61          -6.064          -1.538           0.095          14.184  
         -2.025           6.031           3.611           0.253           9.488  
         10.852           0.515          -4.877           0.181          -1.031  
          0.221          -0.599          -9.375           -1.04           6.198  
          3.901          -3.293          -5.434            0.29         -17.893  
         -0.111           2.113           3.666          -0.439           -5.53  
          3.545          -4.814          -8.379           0.606            1.71  
          -0.61           1.555           0.091           0.083          -0.658  
          4.192          -1.454          -6.672          -1.457          -6.493  
